image_id,lat,lon,streetlights,graffiti,building_maintenance,public_transit_stops,pavement_presence,pavement_width,pavement_continuity,safe_walk_alt,pavement_trip_minor,pavement_trip_major,ped_crossing,walk_signal,bike_path,public_park,buffer_presence,buffer_width,buffer_majority,benches,curb_ramp,segment_type,tree_overhead,GEOID
1062,38.62612,-90.29144,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510104500
1063,38.62786,-90.29087,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
1064,38.62905,-90.29122,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
1065,38.63039,-90.29139,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510104500
1066,38.63182,-90.29084,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,2,Yes,Yes,2,No,No,No,Residential,high,29510112100
1067,38.63334,-90.29128,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,2,Yes,Yes,2,No,No,Yes,Commercial,medium,29510112100
1068,38.63439,-90.29088,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,2,Yes,Yes,2,No,No,No,Commercial,high,29510112100
1069,38.6357,-90.29087,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,2,Yes,Yes,2,No,No,No,Residential,medium,29510112100
1070,38.63697,-90.2908,Ample,No,2,0,Yes,2,Yes,Yes,1,1,Yes,No,1,Yes,Yes,2,No,No,No,Commercial,low,29510112100
1071,38.63866,-90.29083,No,No,0,0,Yes,2,Yes,Yes,0,0,No,No,2,Yes,Yes,2,No,No,No,Residential,high,29510112100
1073,38.64111,-90.29095,Ample,No,2,0,Yes,2,No,Yes,0,0,No,No,2,Yes,Yes,2,No,No,No,Residential,high,29510112100
1074,38.64245,-90.29081,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,2,Yes,Yes,2,No,Yes,Yes,Residential,high,29510112100
1077,38.64661,-90.29087,Ample,No,0,0,Yes,2,Yes,Yes,1,1,Yes,No,1,Yes,Yes,2,No,No,Yes,Residential,high,29510105200
1078,38.64822,-90.29084,Some,No,0,0,Yes,2,Yes,Yes,0,0,No,No,2,No,Yes,2,No,No,No,Residential,high,29510105200
1079,38.64901,-90.29094,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105200
107,38.58596,-90.31081,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103100
1080,38.65045,-90.29108,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105200
1081,38.65193,-90.29076,No,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105200
1082,38.65279,-90.29099,Ample,No,2,0,Yes,2,No,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510105200
1083,38.65466,-90.29087,Ample,No,2,1,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,No,No,Commercial,medium,29510105300
1084,38.65577,-90.29089,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,Yes,Residential,high,29510105300
1085,38.65756,-90.29087,No,No,0,0,Yes,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105300
1087,38.66024,-90.29098,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,No,Yes,Residential,high,29510105300
1088,38.66141,-90.29089,Ample,No,2,0,Yes,2,Yes,Yes,1,1,Yes,No,1,No,Yes,2,No,No,No,Residential,medium,29510105400
1089,38.66243,-90.29088,Ample,No,2,0,Yes,2,Yes,Yes,0,0,No,No,1,Yes,Yes,2,No,No,No,Residential,medium,29510105400
108,38.58705,-90.31092,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103100
1090,38.66407,-90.29115,Some,No,1,0,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510105400
1091,38.66512,-90.29106,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105400
1092,38.66699,-90.29063,Ample,No,0,0,Yes,2,No,Yes,1,1,No,No,2,Yes,Yes,2,No,No,No,Residential,high,29510105400
1094,38.6694,-90.2908,Ample,No,2,0,No,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510105400
1095,38.55747,-90.28961,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102300
1096,38.55869,-90.28913,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102300
1097,38.56058,-90.28945,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,2,Yes,Yes,2,No,No,No,Residential,high,29510102300
1098,38.56175,-90.28955,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,No,No,Residential,INVALID,29510102300
1099,38.56286,-90.28935,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,Yes,No,Residential,medium,29510102300
109,38.58859,-90.31107,Some,No,2,0,Yes,2,No,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510103100
10,38.59501,-90.31792,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103800
1100,38.56413,-90.28937,Ample,No,2,0,Yes,2,No,Yes,1,1,No,No,2,No,Yes,2,No,No,No,Residential,INVALID,29510102300
1101,38.56549,-90.28988,Some,No,0,0,Yes,2,No,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510102300
1102,38.56705,-90.28955,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102100
1103,38.56837,-90.28948,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102100
1104,38.56959,-90.28958,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102100
1105,38.57101,-90.28954,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102100
1106,38.57254,-90.28945,Ample,No,2,1,Yes,2,Yes,Yes,1,0,No,Yes,1,No,Yes,2,No,No,Yes,Residential,high,29510102200
1107,38.57375,-90.28952,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,Yes,No,Residential,high,29510102200
1108,38.57516,-90.28951,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102200
1109,38.57663,-90.28945,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510102200
110,38.59007,-90.31119,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,Yes,1,No,Yes,2,No,No,No,Residential,medium,29510103100
1110,38.57758,-90.28957,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102200
1111,38.57916,-90.28969,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102200
1112,38.58051,-90.28945,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,2,No,Yes,2,No,No,No,Residential,medium,29510102200
1113,38.58163,-90.28959,Some,No,2,0,Yes,2,No,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102200
1114,38.58298,-90.28958,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510114300
1115,38.58447,-90.28941,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114300
1116,38.5861,-90.28943,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510114300
1117,38.58701,-90.28955,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510114300
1118,38.58837,-90.28957,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510114300
1119,38.58972,-90.28957,Some,No,2,0,Yes,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510114300
111,38.59122,-90.31092,Ample,No,2,0,No,2,No,Yes,1,1,No,No,1,No,Yes,2,No,No,Yes,Residential,INVALID,29510103100
1120,38.59108,-90.28961,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114101
1121,38.59246,-90.28956,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,low,29510114101
1122,38.59383,-90.28952,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114101
1123,38.59551,-90.28949,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114101
1124,38.59639,-90.28958,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114200
1125,38.59813,-90.28948,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510114200
1126,38.59901,-90.28955,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510114200
1128,38.60223,-90.28983,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,medium,29510127200
1129,38.60337,-90.28945,Ample,No,2,0,Yes,2,No,Yes,1,1,No,No,1,No,Yes,2,No,No,Yes,Residential,high,29510127200
112,38.59284,-90.31107,Some,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103100
1130,38.60485,-90.28949,No,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,low,29510127200
1131,38.6061,-90.28954,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103700
1132,38.6075,-90.2895,No,No,2,0,Yes,2,No,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103700
1133,38.60886,-90.28936,Some,No,2,0,Yes,2,No,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103700
1134,38.61017,-90.28965,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,Yes,1,No,Yes,2,No,No,No,Residential,medium,29510103700
1135,38.61148,-90.28954,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510103700
1136,38.61278,-90.28915,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510103600
1137,38.61448,-90.28973,Ample,No,2,0,Yes,2,No,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103600
1138,38.61553,-90.28941,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510103600
1139,38.61691,-90.28971,No,No,2,0,Yes,2,No,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103600
113,38.59429,-90.31097,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103800
1140,38.61828,-90.28952,Ample,No,0,0,No,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Commercial,high,29510103600
1141,38.61977,-90.28952,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103600
1142,38.62063,-90.28949,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Commercial,low,29510103600
1143,38.62227,-90.28953,Ample,Yes,2,0,No,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Commercial,INVALID,29510104500
1144,38.62364,-90.2897,Some,No,0,0,Yes,2,Yes,Yes,0,0,No,No,2,No,Yes,2,No,No,Yes,Residential,low,29510104500
1145,38.62496,-90.28947,Ample,No,0,0,Yes,2,Yes,Yes,0,0,No,No,2,No,Yes,2,No,No,No,Residential,INVALID,29510104500
1146,38.6264,-90.28949,No,No,2,0,Yes,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
1147,38.62773,-90.28954,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
1148,38.6291,-90.28957,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
1149,38.63078,-90.28942,Some,No,0,0,Yes,2,No,Yes,1,1,No,No,2,Yes,Yes,2,No,Yes,No,Residential,high,29510104500
114,38.59552,-90.31104,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103800
1150,38.63165,-90.28958,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,low,29510112100
1151,38.63317,-90.28949,Ample,No,0,0,Yes,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,low,29510112100
1152,38.63439,-90.28959,Ample,No,2,1,Yes,2,No,Yes,0,0,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510112100
1153,38.63575,-90.28954,No,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,No,2,No,Yes,No,Commercial,medium,29510112100
1154,38.63707,-90.28946,Ample,No,2,1,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,Yes,No,Commercial,low,29510112100
1155,38.63836,-90.28959,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,Yes,1,Yes,Yes,2,No,Yes,Yes,Residential,high,29510112100
1156,38.63962,-90.28994,Ample,No,2,0,Yes,2,Yes,Yes,0,0,No,No,2,Yes,Yes,2,No,No,Yes,Residential,medium,29510112100
1157,38.64116,-90.28942,Ample,No,0,0,Yes,2,No,Yes,0,0,No,No,2,Yes,Yes,2,No,No,Yes,Residential,high,29510112100
1158,38.64232,-90.28963,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510112100
115,38.59656,-90.31111,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510103800
1161,38.64648,-90.28952,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,Yes,No,Residential,medium,29510105200
1162,38.64809,-90.28952,Some,No,0,0,Yes,2,No,Yes,0,0,No,No,2,No,Yes,2,No,No,No,Residential,medium,29510105200
1163,38.64887,-90.28957,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105200
1164,38.65051,-90.28934,Ample,No,2,0,No,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105200
1165,38.65196,-90.28968,No,No,2,0,Yes,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,low,29510105200
1166,38.65348,-90.28944,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510105200
1167,38.65452,-90.28953,Ample,No,2,1,Yes,2,Yes,Yes,1,1,No,No,2,No,Yes,2,No,No,No,Commercial,low,29510105300
1168,38.65563,-90.28955,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105300
1169,38.65685,-90.28975,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105300
116,38.59811,-90.31163,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103800
1170,38.65872,-90.28991,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105300
1171,38.66,-90.28969,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,2,No,Yes,2,No,No,No,Residential,medium,29510105300
1172,38.66132,-90.28948,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,Yes,1,Yes,Yes,2,No,Yes,Yes,Residential,medium,29510105400
1173,38.66269,-90.28928,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,Yes,No,Residential,high,29510105400
1174,38.66398,-90.28908,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105400
1176,38.66651,-90.28973,Ample,No,2,0,Yes,2,No,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105400
1177,38.66822,-90.28934,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510105400
1178,38.66937,-90.28949,Some,Yes,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,Yes,No,Residential,medium,29510105400
1179,38.67083,-90.28958,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510106100
